"","NAMELSAD","yr","area","count","nIndv","nCorp","nIndvTech","nIndvBigTech","nCorpBigTech","nDemRec","nRepRec","nIndRec","nComRec","nGen","aTot","aIndv","aCorp","aIndvBigTech","aIndvTech","aCorpTech","aDemRec","aRepRec","aIndRec","aComRec","aGen","meanCFCont","sdCFCont","meanCFCand","sdCFCand","meanCFDiff","sdCFDiff","vReg","vTurn","SE_A00002_001","SE_A00003_001","SE_A00003_002","SE_A00003_003","SE_A02002_002","SE_A02002_003","SE_A02002_004","SE_A02002_005","SE_A02002_006","SE_A02002_007","SE_A02002_008","SE_A02002_009","SE_A02002_010","SE_A02002_011","SE_A02002_012","SE_A02002_013","SE_A02002_014","SE_A02002_015","SE_A02002_016","SE_A02002_017","SE_A02002_018","SE_A02002_019","SE_A02002_020","SE_A02002_021","SE_A02002_022","SE_A02002_023","SE_A02002_024","SE_A02002_025","SE_A02002_026","SE_A02002_027","SE_C01001B_002","SE_C01001B_003","SE_C01001B_004","SE_C01001B_005","SE_C01001B_006","SE_C01001B_007","SE_C01001B_008","SE_C01001B_009","SE_C01001B_010","SE_C01001B_011","SE_C01001B_012","SE_C01001B_013","SE_C01001B_014","SE_C01001B_015","SE_C01001B_016","SE_C01001B_017","SE_C01001B_018","SE_C01001B_019","SE_C01001B_020","SE_C01001B_021","SE_C01001B_022","SE_C01001B_023","SE_A01004_001","SE_A01004_002","SE_A01004_003","SE_A10008_001","SE_A10008_002","SE_A10008_003","SE_A10008_004","SE_A10008_005","SE_A10008_006","SE_A10008_007","SE_A10008_008","SE_A10008_009","SE_A10024_001","SE_A10024_002","SE_A10024_003","SE_A10024_004","SE_A10024_005","SE_A10024_006","SE_A10024_007","SE_A10024_008","SE_A10002B_001","SE_A10002B_002","SE_A10002B_003","SE_A10002B_004","SE_A10002B_005","SE_A10002B_006","SE_A10002B_007","SE_A10002B_008","SE_A10022_001","SE_A10022_002","SE_A10022_003","SE_A10022_004","SE_A10022_005","SE_A10022_006","SE_A10022_007","SE_A10022_008","SE_A10005B_001","SE_A10005B_002","SE_A10005B_003","SE_A10005B_004","SE_A10005B_005","SE_A10005B_006","SE_A10005B_007","SE_A10005B_008","SE_A10009_001","SE_A10009_002","SE_A10009_003","SE_A10009_004","SE_A10009_005","SE_A10009_006","SE_A10009_007","SE_A10009_008","SE_A10009_009","SE_A10009_010","SE_A10009_011","SE_A10009_012","SE_A10009_013","SE_A10009_014","SE_A10009_015","SE_A10009_016","SE_A10009_017","SE_A10009_018","SE_A10009_019","SE_A10010_002","SE_A03001B_002","SE_A03001B_010","SE_A10023_002","SE_A10023_003","SE_A10020_002","SE_A10020_003","SE_A10020_004","SE_A10020_005","SE_A10020_006","SE_A10020_007","SE_A10020_008","SE_A10020_009","SE_A10020_010","SE_A01003B_002","SE_A01003B_003","SE_A01003B_004","SE_A01003B_005","SE_A01003B_006","SE_A01003B_007","SE_A01003B_008","SE_A01003B_009","SE_A01003B_010","SE_A10003_001","SE_A10003B_001","SE_A11001_002","SE_A11001_003","SE_A11001_004","SE_A11001_005","SE_A11001_006","SE_A14019_001","SE_A14016_001","SE_A14021_001","SE_A14023_001","SE_A14023_002","SE_A14023_009","SE_A10011_002","SE_A10011_003","SE_A10019_002","SE_A10019_003","SE_A10016_002","SE_A10016_003","SE_A10012_002","SE_A10012_003","SE_A10017_002","SE_A10017_003","SE_A10018_002","SE_A10018_003","SE_A10014_002","SE_A10014_003","SE_A10015_002","SE_A10015_003","SE_A10013_002","SE_A10013_003","SE_A14024_001","SE_A14026_001","SE_A14026_002","SE_A14026_003","SE_A14026_004","SE_A14026_005","SE_A14027_001","SE_A14027_002","SE_A14027_003","SE_A14027_004","SE_A14027_005","SE_A14027_006","SE_A14025_001","SE_A14025_002","SE_A14025_003","SE_A14025_004","SE_A14025_005","SE_A14025_006","SE_A14028_001","SE_A10060_001","SE_A10060_002","SE_A10060_003","SE_A10044_001","SE_A10044_002","SE_A10044_003","SE_A10032_002","SE_A10032_003","SE_A10032_004","SE_A10032_005","SE_A10032_006","SE_A10032_007","SE_A10032_008","SE_A10032_009","SE_A10032_010","SE_A10032_011","SE_A10032_012","SE_A10050_002","SE_A10050_003","SE_A10050_004","SE_A10050_005","SE_A10050_006","SE_A10050_007","SE_A10042B_002","SE_A10042B_003","SE_A10042B_004","SE_A10042B_005","SE_A10042B_006","SE_A10042B_007","SE_A10057_001","SE_A10036_001","SE_A18003_001","SE_A18004_001","SE_A18007_002","SE_A18007_003","SE_A10037_001","SE_A10037_002","SE_A10037_003","SE_A10027_002","SE_A10027_003","SE_A10027_004","SE_A10027_005","SE_A10027_006","SE_A10027_007","SE_A10027_008","SE_A10027_009","SE_A10027_010","SE_A10027_011","SE_A10027_012","SE_A10027_013","SE_A10027_014","SE_A10027_015","SE_A13003A_001","SE_A13003A_002","SE_A13003A_003","SE_A13003B_001","SE_A13003B_002","SE_A13003B_003","SE_A13003C_001","SE_A13003C_002","SE_A13003C_003","SE_A09001_002","SE_A09001_003","SE_A09001_004","SE_A09001_005","SE_A09001_006","SE_A09001_007","SE_A09001_008","SE_A09001_009","SE_A09002_002","SE_A09002_003","SE_A09002_004","SE_A09002_005","SE_A09002_006","SE_A09002_007","SE_A09002_008","SE_A10030_003","SE_A10030_004","SE_A10030_005","SE_A10030_006","SE_A10030_007","SE_A10054B_002","SE_A10054B_003","SE_A10054B_004","SE_A10054B_005","SE_A10054B_006","SE_A10054B_007","SE_A16002_001","SE_A16002_002","SE_A16002_003","SE_A16002_004","SE_A16002_005","SE_A16002_006","SE_A16002_007","SE_A06001_002","SE_A06001_003","SE_A06001_004","SE_A06001_005","SE_A05001_002","SE_A05001_003","SE_A05001_004","SE_A10048_001","SE_A10048_002","SE_A10048_003","id"
"11","Buena Park city",2006,10.524,2126,1641,104,164,16,20,355,335,11,1603,0.204139228598307,2660509.23,177628.01,61503.92,5417.5,17022.26,3557.7,669310.51,148496.26,2849.99,2119319.47,353264.14,-0.154463781749765,0.852796076227366,-0.0248824082784572,-0.0248824082784572,-0.0295390404515522,0.261702074221037,661709,285044,7588.09540279602,10.6368002477232,10.5741949383549,0.0626053093682287,40102,3566,2488,3275,1984,3671,6095,5911,5978,4051,1541,1395,147,40136,2578,2698,3336,1450,4149,5519,5851,5746,4104,2229,1554,922,74094,68908,62297,58863,56662,55297,54011,51043,45464,39429,33676,27667,20914,15943,10970,9074,7788,6793,5611,4018,2165,1069,34.6,33.9,35.5,23495,18648,13287,5361,1705,3656,4847,2218,2629,23495,3832,6433,4039,4632,2067,1641,851,10621,1944,2633,1976,1898,725,825,620,23495,10188,9208,1583,2432,5193,980,13307,10621,5395,4743,792,1524,2427,652,5226,23495,10188,10188,6554,3634,1296,2338,0,0,0,13307,8460,6733,1727,409,1318,4847,2218,2629,11203,3794,4004,6617,16878,457,3799,5633,5820,1784,2269,1927,1397,409,457,2859,3069,2314,680,383,533,138,188,3.38,3.44,19840,31374,1927,3647,5509,1546275700,42490,244664000,1641847000,787594000,370383400,20330,3165,19305,4190,3424,20071,3454,20041,4545,18950,797,22698,594,22901,3399,20096,3232,20263,20462,30112,48368,69633,97868,145907,15452,38290,59454,81631,134238,195301,4.69999980926514,11.6000003814697,18.1000003814697,24.7999992370605,40.7999992370605,14.8000001907349,0.363999992609024,23495,12874,10621,24594,23495,1099,15521,13990,1531,49,1681,1245,2582,1641,1355,520,0,521,1918,6646,8789,4784,837,417,1867,5535,1509,1072,221,1964,594900,34.7999992370605,13661600,1190,1264,27.1000003814697,31.3999996185303,9.80000019073486,164,269,1181,785,371,356,477,741,280,1183,7339,4578,5771,0,21335,3247,18088,51055,3959,47096,7109,504,6605,37247,2698,9994,7451,5767,5651,4565,1121,721,6164,13258,7433,3985,4565,1121,6550,9414,3488,1942,1044,829,4079,3922,1035,568,188,58695,4324,2428,1896,54371,48479,5892,48209,32029,12496,19533,77087,65540,11547,23495,23495,23333,151
"12","Burbank city",2006,17.341,8434,4643,504,526,10,1,2439,1276,41,5983,0.187099834005217,35855286.66,1713663.2,811500.45,2520,268073.97,500,9657766.54,5610123.17,125238,26404199.95,7209430.65,-0.249913445577425,0.888251168512037,-0.141939767607304,-0.141939767607304,-0.0238617500592839,0.400781006006199,1028674,421709,6205.05365342146,17.364978524997,17.3484398383313,0.0165386866657297,52151,2392,1787,3423,1982,3612,7153,10928,9277,5507,3415,1912,763,55497,4015,3020,4931,2219,4651,5418,11004,7503,5744,2881,3020,1091,101241,96434,88080,83879,82031,80689,79385,75616,69216,63045,51838,41113,32746,24333,18656,16280,13082,10505,9135,6786,3756,1854,39.1,39.9,38.4,42815,24638,18533,6105,1458,4647,18177,10335,7842,42815,14555,12418,7327,5666,1902,799,148,23680,9433,6949,2899,3026,788,585,0,42815,13016,11654,2524,1888,7242,1362,29799,23680,6893,6038,1446,946,3646,855,16787,42815,13140,13140,9565,3575,756,2819,0,0,0,29675,11498,8968,2530,702,1828,18177,10335,7842,33101,17267,3965,6666,36149,1167,5324,12566,8902,3339,3415,3799,3201,1102,1124,4105,8527,4899,1031,1510,1234,1052,198,2.48,2.34,30502,41684,1861,4602,9431,3083366500,46406,964065100,3211322000,2546399400,405197700,35439,7376,33356,9459,7119,35696,10550,32265,8488,34327,1845,40970,1512,41303,5134,37681,4477,38338,29832,24051,45445,66347,104387,200946,14737,35600,55769,81947,172028,275301,4.09999990463257,9.89999961853027,15.5,22.7999992370605,47.7999992370605,19.1000003814697,0.430000007152557,42815,19135,23680,44732,42815,1917,23993,22345,1648,1456,2046,4682,5173,3836,3348,198,0,1445,10400,16610,11852,1629,879,1445,10012,8822,2809,474,118,1954,617800,29.3999996185303,29317800,1244,1212,26.5,31.3999996185303,13.5,41,355,1533,1084,1411,491,1240,1620,2329,2554,12638,6771,10567,181,23689,3667,20022,70797,5072,65725,12562,529,12033,50678,6594,16008,8276,8449,5863,4359,1129,1397,14800,14681,10351,3961,4359,1129,17639,16160,5136,768,333,2208,11931,7969,1360,159,53,83638,6034,3678,2356,77604,66878,10726,77656,29992,19255,10737,104446,82681,21765,42815,42664,42426,154
"13","Carlsbad city",2006,37.722,6761,5955,327,802,93,11,990,1178,14,5286,0.136961987871617,3877091.54,1893499.39,1052986.23,13757.69,188789.97,1950,584414.43,1516147.82,3728.44,2561044.2,721287.04,0.0307040378642213,0.901891097414007,0.04608637775477,0.04608637775477,-0.00498594882413844,0.317728165154923,1243026,580432,2548.95369481528,40.7906449759613,37.4353603182717,3.35528465768953,46062,3328,3256,3162,2263,3115,5135,8645,6960,4928,3168,1730,372,49359,4225,3995,3445,2144,1856,4847,10631,6715,4865,3180,2379,1077,87868,80617,74010,69603,67574,66824,66218,64632,59625,54650,43992,35374,27394,21699,17192,15321,11906,10288,9025,5558,2853,1449,38.4,38.4,38.4,37136,24840,20748,4092,977,3115,12296,5877,6419,37136,9705,12287,6900,5551,1726,414,553,11453,3659,3905,2043,1040,533,0,273,37136,13705,13550,2634,2125,8791,155,23431,11453,3878,3768,831,503,2434,110,7575,37136,13840,13705,10438,3267,842,2425,135,0,135,23296,11135,10310,825,135,690,12161,5877,6284,31598,9090,2035,3377,33759,497,4577,10581,8110,2825,3264,3657,2663,962,497,3121,3337,1718,997,617,469,424,273,2.57,2.46,19195,43484,689,3036,7606,4194577300,48948,847880100,4214547400,3644100600,311574800,30211,6925,29013,8123,5892,31244,14523,22613,8502,28634,829,36307,163,36973,6151,30985,4177,32959,44168,34857,63512,103635,167251,288547,19982,48976,83609,134785,277408,475005,3.5,8.69999980926514,14.8000001907349,23.8999996185303,49.0999984741211,21,0.458999991416931,37136,25683,11453,40621,37136,3485,29214,22386,6828,479,1758,1862,2984,1485,1699,1140,0,203,2315,10669,11531,9643,2775,203,1722,6050,2381,921,176,1985,743500,33.2000007629395,17371200,1569,1547,26.1000003814697,29.2000007629395,8,194,272,715,521,1038,502,746,915,1254,1061,4738,7373,17571,236,25818,979,24839,57697,4196,53501,11824,511,11313,41881,6389,11224,6713,5192,6515,3673,2175,1124,11178,12024,7815,3892,3673,2175,10558,17654,6217,1554,234,558,4765,4603,1305,146,76,68577,8370,4503,3867,60207,52168,8039,83032,12389,5079,7310,90431,53642,36789,37136,37136,37083,191
"14","Carson city",2006,18.724,3143,2510,326,208,43,3,402,269,7,2650,0.109767737830099,1528946.24,301508.22,982231.66,6301.25,15634.72,290,221736.14,582182.1,2205.46,1085195.29,238070.66,-0.443744829780465,0.853530695282319,-0.33467706013363,-0.33467706013363,-0.037467387846007,0.324975757019352,628709,224826,4663.81048843808,18.9657735865958,18.8421035155375,0.123670071058244,42888,2202,3234,3507,2317,4380,4746,6278,6333,4803,3505,1256,327,44988,2222,2938,3239,2301,4235,3956,7273,6981,5310,4166,1863,504,83452,77280,70534,65916,63349,61968,60705,57301,52385,48599,40777,35048,27952,21734,16001,14304,11621,9778,7331,3950,1874,831,37.7,36.6,39,24726,19524,14008,5516,1311,4205,5202,2791,2411,24726,4233,5826,5650,4545,1896,1480,1096,5199,1331,660,1185,951,392,557,123,24726,9796,7746,699,1293,5754,2050,14930,5199,2411,2052,196,201,1655,359,2788,24726,9956,9907,6501,3406,926,2480,49,0,49,14770,9617,7507,2110,385,1725,5153,2791,2362,6762,1068,2706,8112,16614,470,1531,4950,5766,3274,2187,4313,1705,530,346,547,1815,773,302,378,651,273,114,3.51,3.42,24082,34114,1968,4045,6325,1750156400,30054,232134800,1894273100,441426400,485256200,20589,4137,19303,5423,2702,22024,5764,18962,8143,16583,1046,23680,248,24478,4878,19848,2934,21792,21556,25431,47548,71150,108229,161052,13469,35645,59953,90887,153956,222772,3.79999995231628,10.1000003814697,16.8999996185303,25.7000007629395,43.5,15.6999998092651,0.402999997138977,24726,19527,5199,25327,24726,601,20385,18299,2086,0,335,626,664,103,1019,2195,0,572,1136,5061,11447,5716,794,522,935,1230,2396,116,0,1965,501100,35.5,5200100,766,878,24.6000003814697,28,11.3000001907349,192,536,1528,1307,1108,442,915,1028,1189,1151,4062,5248,5751,269,21550,2614,18936,53607,5250,48357,11621,741,10880,36466,5313,10375,8873,6626,3211,1960,108,1327,8523,14711,7458,2379,1960,108,5695,9528,4989,2723,997,254,2357,1410,681,303,194,65916,5286,2810,2476,60630,51485,9145,59572,28304,16403,11901,85300,77287,8013,24726,24681,24385,197
"15","Chico city",2006,32.923,2096,1702,130,175,1,0,276,507,6,1599,0.19513358778626,772119.07,204063.97,174595.8,25,21064.53,0,69487.28,399371.34,950,451088.08,222692.44,-0.0813549618320611,0.96347069315432,0.056875,0.056875,-0.0324141221374046,0.242350447984273,1296473,736568,2585.33275745007,27.7582521617861,27.7442042202512,0.0140479415348643,35989,2282,1947,2207,1024,10407,5903,3452,4076,2403,750,995,543,35739,1470,2256,1557,1564,9722,5204,3675,3809,2310,1366,1864,942,67976,63773,60009,57421,51153,47827,45500,37292,30252,26185,22109,19058,14602,11173,8262,7403,6460,5749,5325,4344,2534,1485,25.7,25.1,26.9,28930,13657,8583,5074,1551,3523,15273,7857,7416,28930,9723,9659,3918,3293,1360,506,471,17717,6639,5385,2385,1913,752,172,471,28930,7627,7016,2014,1050,3952,611,21303,17717,4114,3706,961,667,2078,408,13603,28930,7710,7627,3813,3814,1093,2721,83,0,83,21220,6030,4770,1260,458,802,15190,7857,7333,25382,14619,3347,4029,24901,6150,6162,4601,5092,1524,1259,1596,2046,500,6103,4817,2595,2382,284,326,565,388,257,2.39,2.38,31229,18899,1392,2422,6067,1457992100,26329,551803200,1485092600,1324719500,137674800,24268,4662,23470,5460,4242,24688,6041,22889,5047,23883,1565,27365,624,28306,3612,25318,6261,22669,20705,14840,28187,48417,76516,133785,9323,21940,37164,61308,122251,197726,3.70000004768372,8.69999980926514,14.6999998092651,24.2999992370605,48.5,19.6000003814697,0.45100000500679,28930,11213,17717,31332,28930,2402,16710,15645,1065,1176,5232,2793,1387,1415,1439,1180,0,610,4193,9045,10627,4254,201,542,4117,7223,4355,1341,139,1979,325000,36.7999992370605,15691300,891,725,24.8999996185303,28.2999992370605,13.1999998092651,91,246,758,917,1973,1964,2443,2756,2460,2180,6576,3536,2499,531,14011,2356,11655,48638,12109,36529,6168,240,5928,32676,10705,15461,2028,2585,1242,493,162,2311,17802,8081,2941,886,493,162,11150,10531,3582,700,778,2056,7690,6115,1101,476,279,57421,4876,2896,1980,52545,48065,4480,65553,6175,2809,3366,65118,35881,29237,28930,28886,28869,225
"16","Chino city",2006,29.639,3273,2990,78,77,10,36,205,252,19,2961,0.0592728383745799,792904.06,286244.81,90944,680,24478,60,334706.53,180790,11301.01,497951.18,172265.02,-0.0203391384051329,0.742765829101945,-0.00376718606782768,-0.00376718606782768,-0.019340054995417,0.21505697667081,785621,366414,3532.17964093798,21.0631813738133,21.0524400113051,0.0107413625082433,40180,2031,1697,2210,2166,5861,8480,7164,5391,2694,1574,675,237,34181,2229,2057,2310,1651,3221,5302,6528,5392,2820,1253,1204,214,70101,66347,61827,58010,55010,53776,52341,48928,42335,35146,29508,21454,14696,10671,7747,6379,5157,4199,3436,2330,1458,451,33.5,31.7,36.1,19749,16440,12157,4283,1935,2348,3309,1451,1858,19749,2669,5096,3437,5962,1847,655,83,5173,1258,1485,1279,701,234,133,83,19749,9846,9188,1563,1905,5720,658,9903,5173,2209,2162,676,321,1165,47,2964,19749,9891,9846,7255,2591,1113,1478,45,45,0,9858,6594,4902,1692,822,870,3264,1406,1858,11628,3011,2545,7959,11790,196,3381,5648,4246,1258,1556,1734,1365,365,42,1217,1939,175,93,177,545,735,250,3.22,2.62,23475,28425,1544,2519,5864,1584886000,39334,145881400,1707031600,935948100,648825700,17376,2373,16799,2950,2477,17272,3997,15752,5195,14554,833,18916,260,19489,3005,16744,2712,17037,22956,35180,56817,84132,110820,177325,20494,45129,70650,100036,164948,251016,5.09999990463257,11.1999998092651,17.6000003814697,24.8999996185303,41.0999984741211,15.6000003814697,0.367000013589859,19749,14576,5173,20274,19749,525,15200,13975,1225,62,847,1463,387,68,1635,612,0,78,2153,3691,6760,6138,929,78,1945,2540,380,230,0,1979,542200,31.7999992370605,5558400,997,960,27.3999996185303,29.2999992370605,11.8999996185303,0,73,638,520,516,458,1072,655,822,1303,4129,3868,5649,46,16266,806,15460,42771,2436,40335,5072,453,4619,29935,2277,8206,3997,6552,4265,2930,1708,309,5865,8306,7598,3219,2930,1708,3652,8573,3793,2070,824,718,2007,1540,848,60,0,58010,4502,3480,1022,53508,49373,4135,57252,17109,9520,7589,71049,58229,12820,19749,19692,19567,228
"17","Chino Hills city",2006,44.681,3384,3294,20,202,10,0,197,254,8,3093,0.0726950354609929,509977.02,380599.04,65432.03,430,70335.11,0,106132.87,246440,2550,287213.99,117099.3,-0.161716903073286,0.752420299082586,0.00132978723404255,0.00132978723404255,0.000667848699763591,0.241182603804158,667008,337944,1733.99798002079,44.874313703384,44.8062805696397,0.068033133744249,38615,2535,3055,3372,2218,3426,5671,7320,5505,3661,1290,510,52,39079,2760,3277,3882,1699,4160,5604,7217,6040,2945,662,556,277,72399,66067,58813,54896,52760,51835,50480,47310,42264,36035,29058,21498,14186,9953,5325,4577,3347,2527,1995,1395,601,329,33.1,33.4,32.9,23369,19336,16246,3090,1142,1948,4033,2426,1607,23369,2990,5714,4313,6944,1915,1426,67,3693,987,917,872,647,199,71,0,23369,11901,11223,1822,2085,7316,678,11468,3693,1339,1339,172,401,766,0,2354,23369,11962,11901,9958,1943,572,1371,61,61,0,11407,7435,6288,1147,570,577,3972,2365,1607,11960,2066,1005,6515,16854,319,4156,7338,6590,2415,1368,565,349,269,319,1414,710,365,404,148,0,128,205,3.32,2.67,17501,35004,538,1466,4304,2592520200,79941,321358100,2681781800,1451410100,645731200,22424,945,21291,2078,4977,18392,5503,17866,2038,21331,565,22804,356,23013,2547,20822,2669,20700,34517,58803,84139,111845,151981,219582,34846,73286,98756,129154,218649,345914,6.30000019073486,13.1999998092651,17.7999992370605,23.2999992370605,39.4000015258789,15.6000003814697,0.328999996185303,23369,19676,3693,24342,23369,973,20829,19925,904,0,526,1115,518,233,586,535,0,0,594,3535,8219,7897,3124,0,494,1504,1183,308,204,1989,609500,27.3999996185303,5933900,1748,1708,28.1000003814697,29.7999992370605,6.90000009536743,203,342,65,92,196,219,64,213,614,61,2895,5756,12521,128,22683,968,21715,51549,1356,50193,3347,128,3219,37580,2708,7925,5610,5909,6567,6056,2805,344,6740,9159,8102,4374,6056,2805,3244,10754,6195,2216,604,259,1150,1631,307,346,0,54850,4367,3531,836,50483,47972,2511,58183,19511,11500,8011,76752,60817,15935,23369,23324,23119,229
"18","Chula Vista city",2006,49.631,4208,3786,131,475,7,3,963,589,13,3083,0.18037072243346,939481.69,545557.95,81138.3,243.5,62920.52,30,359627.43,169554,3490,500607.26,214620.24,-0.188999524714829,0.81527237701769,-0.100230513307985,-0.100230513307985,-0.0042514258555133,0.318582193809329,1902023,635290,4322.13465970821,51.2368095913958,48.877005607748,2.3598039836478,100884,9742,8227,10043,5224,10988,13920,15588,12165,6210,5207,3079,491,110369,10895,8991,11018,5692,8973,13420,17336,12676,8630,6420,4807,1511,190616,173398,152337,141421,136640,133200,130413,121460,108477,94120,77351,61196,47233,36355,27534,24677,21515,18910,15407,9888,5764,2002,30.8,29.7,32.3,67704,53628,36681,16947,4314,12633,14076,7105,6971,67704,11699,18369,12062,13491,7929,2073,2081,25838,5390,6597,5056,5050,2400,530,815,67704,34064,31180,6702,6931,17547,2884,33640,25838,13341,12649,3170,2930,6549,692,12497,67704,34589,34544,22155,12389,3109,9280,45,45,0,33115,19084,14526,4558,1205,3353,14031,7060,6971,44290,17903,14743,32537,35167,3541,10977,17638,15218,5313,3366,6091,4342,1218,3221,5668,6340,5920,1520,486,1648,702,333,3.11,3.02,44762,79362,4861,7231,16121,4615106600,36762,582628400,4666016200,2937107100,2028171600,56040,11664,54242,13462,7686,60018,12164,55540,15655,52049,3105,64599,3235,64469,12056,55648,12222,55482,22087,25139,45943,70148,105686,157350,14470,35347,56562,85484,148966,209078,4.19999980926514,10.3999996185303,16.6000003814697,25.1000003814697,43.7000007629395,15.3000001907349,0.397000014781952,67704,41866,25838,73984,67704,6280,48519,40338,8181,1033,2908,2918,4914,4127,5516,4049,0,476,8742,17415,20216,16580,4275,430,7145,10803,4815,2200,445,1981,564700,36.5,29939100,1157,998,33.5,37.9000015258789,9.39999961853027,909,1186,2713,1934,1539,1485,2050,3631,2888,3996,11523,8223,24904,723,68259,9669,58590,119525,11450,108075,21515,1911,19604,85385,8005,19417,19595,19400,12239,5882,847,1568,15576,29873,22972,8667,5882,847,18325,28241,11394,3692,1484,3261,10721,9019,2252,434,151,138462,16252,11831,4421,122210,105116,17094,148174,63079,31049,32030,203506,173951,29555,67704,67602,67650,231
"19","Citrus Heights city",2006,14.228,2536,2302,127,198,7,2,219,358,3,2222,0.183753943217666,2075461.19,161615.67,209734.94,575,13017.5,150,61247.46,170470,2500,1943440.73,90366.99,0.0362066246056782,0.83254906868408,0.0682728706624606,0.0682728706624606,-0.0149881703470032,0.235664656312219,805288,367030,5907.00159617946,14.3475498728179,14.3475498728179,0,41591,2780,3326,3536,1761,4325,5218,5907,6908,3152,2704,1671,303,43160,2295,2745,2253,3055,3565,5277,6147,6722,4253,3719,2474,655,79676,73605,67816,63000,61025,59669,58645,55110,49214,44615,37372,32561,24947,18931,14635,13336,11526,10255,8146,5103,2563,958,36.3,34.5,38.3,33454,21823,15392,6431,1878,4553,11631,5483,6148,33454,9352,12224,5774,3433,1336,697,638,13830,5198,4433,2281,1177,384,58,299,33454,10722,9834,1449,2106,6279,888,22732,13830,4403,4160,480,1215,2465,243,9427,33454,11062,10919,6981,3938,937,3001,143,143,0,22392,10904,8411,2493,941,1552,11488,5340,6148,28872,12435,968,2568,30886,1813,5330,6402,8237,2365,1790,4159,2790,568,1505,3784,3050,2581,691,554,586,818,261,2.53,2.3,19807,31880,1558,4393,10178,2043857500,37246,500439900,2075896500,1802909200,156355600,26496,6958,25725,7729,3881,29573,6292,27162,8368,25086,1928,31526,1442,32012,7479,25975,5959,27495,24494,25093,45095,63616,87692,130275,13557,34174,54515,74813,128414,185591,4.40000009536743,11.1999998092651,17.7999992370605,24.5,42,15.1999998092651,0.377000004053116,33454,19624,13830,36307,33454,2853,23719,20273,3446,560,2831,3202,2670,370,1279,1676,0,215,4602,8089,15291,4363,894,215,4488,5068,3653,272,134,1976,365800,33,13845500,950,997,26.2999992370605,30.6000003814697,12.3999996185303,41,264,1164,1097,1436,781,1483,2366,2208,2852,8899,4838,5976,49,21013,3005,18008,51474,5239,46235,11526,850,10676,37978,2719,9845,11890,6525,4983,1642,374,1050,6447,16957,8153,3355,1642,374,11296,14286,3701,1832,460,1582,6307,4715,585,641,0,63000,7899,4488,3411,55101,46986,8115,75028,9723,4625,5098,79402,46422,32980,33454,33454,33338,233
"20","Clovis city",2006,23.278,2602,2167,214,166,5,26,159,519,1,2189,0.137202152190623,801026.35,410048.62,133192.32,550,45967.79,2569.79,63132.23,440352.52,100,508736.72,256491.56,-0.0324058416602613,0.866026544595679,0.0541275941583397,0.0541275941583397,-0.00676402767102229,0.29342595339229,1083762,640052,4854.13179200463,17.1159341278801,17.1159341278801,0,41574,3407,3433,2691,1496,5050,6920,7540,4902,3362,1708,753,312,41509,3274,2467,3410,1728,5045,5598,5580,5999,3646,2159,1757,846,76402,70502,64401,61177,59755,57470,56137,51082,43939,38564,31855,25444,19298,14543,11118,9560,7535,6532,5640,3668,2645,1158,31.8,31,33.1,29752,20562,14734,5828,2412,3416,9190,3808,5382,29752,6958,9499,5876,4844,1790,631,154,13037,4833,3653,2661,1298,285,307,0,29752,11030,10344,2283,1720,6341,686,18722,13037,3520,3426,1105,581,1740,94,9517,29752,11354,11306,7323,3983,1611,2372,48,48,0,18398,9256,7411,1845,801,1044,9142,3760,5382,23300,9844,3366,6674,23078,2697,5168,6257,6531,2158,2078,2260,1726,877,2605,3348,2142,2162,341,580,589,771,499,2.78,2.37,20646,30812,2041,3889,7013,1993391500,36522,322977300,2076377700,1658454100,409049500,24361,5391,23540,6212,3659,26093,6253,23499,6536,23216,1591,28161,516,29236,4671,25081,5673,24079,24992,24116,42590,69140,99991,159366,13561,33714,54597,86317,146812,221337,4,10.1000003814697,16.2999992370605,25.7999992370605,43.7999992370605,16.5,0.407000005245209,29752,16715,13037,32076,29752,2324,21173,20195,978,664,4851,2577,648,191,909,1063,0,0,2625,7483,12116,6470,1058,0,2559,6381,3013,1084,0,1985,371100,29.2000007629395,11620500,867,803,24,26.2000007629395,14.6999998092651,66,151,328,622,1053,1382,2539,2698,2524,1308,6000,4912,5543,626,21479,1504,19975,53642,4977,48665,7535,558,6977,38506,5809,15514,9945,4760,1303,734,441,1138,12251,17879,5249,814,734,441,8682,12623,4891,1511,486,1182,5821,4714,1279,0,41,61025,5828,4639,1189,55197,48851,6346,75061,8022,5621,2401,77689,53241,24448,29752,29651,29439,244
